247, 26, 0
137, 19, 0
84, 11, 1
105, 12, 0
186, 3, 0
251, 16, 1
103, 21, 0
116, 3, 2
252, 25, 0
125, 16, 2
227, 24, 2
241, 23, 0
183, 2, 0
260, 3, 1
248, 15, 1
244, 22, 2
262, 11, 0
245, 12, 2
243, 23, 1
203, 6, 1
155, 18, 2
14, 9, 2
355, 1, 1
358, 8, 0
231, 14, 1
135, 5, 1
486, 29, 2
83, 8, 2
263, 24, 0
188, 15, 1
276, 7, 1
38, 28, 0
196, 11, 1
167, 15, 2
95, 22, 0
288, 4, 2
218, 15, 1
268, 13, 0
81, 13, 1
99, 10, 2
105, 12, 1
296, 7, 1
164, 22, 1
75, 26, 2
134, 18, 0
108, 28, 1
154, 16, 1
24, 9, 1
168, 24, 2
147, 9, 1
287, 11, 0
197, 27, 1
164, 9, 0
243, 11, 0
115, 17, 1
214, 11, 0
150, 19, 1
262, 29, 1
177, 18, 1
296, 5, 0
152, 7, 2
191, 27, 0
178, 4, 1
168, 16, 2
266, 27, 2
278, 0, 0
327, 4, 0
15, 13, 0
190, 11, 2
18, 11, 1
232, 6, 1
125, 28, 1
168, 14, 1
74, 10, 0
214, 17, 2
180, 9, 2
244, 23, 2
136, 5, 2
49, 19, 0
195, 3, 2
2, 1, 2
108, 6, 1
222, 11, 2
158, 1, 2
102, 3, 2
40, 19, 2
145, 22, 0
103, 23, 0
279, 12, 1
63, 5, 2
58, 7, 1
335, 5, 0
46, 1, 2
54, 29, 1
214, 11, 2
60, 29, 2
99, 4, 0
245, 17, 0
276, 27, 2
50, 24, 1

