202

382, 14, 2
197, 7, 1
111, 4, 0
73, 9, 1
142, 6, 1
439, 3, 2
78, 4, 2
138, 17, 0
49, 15, 1
127, 2, 0
18, 1, 1
118, 2, 0
35, 11, 1
49, 6, 2
112, 4, 2
130, 4, 1
87, 2, 0
77, 14, 2
189, 14, 1
150, 12, 1
79, 8, 1
141, 10, 0
117, 6, 0
202, 12, 2
143, 11, 1
180, 6, 1
109, 6, 2
171, 2, 0
76, 4, 1
118, 6, 2
128, 8, 0
104, 13, 0
20, 0, 0
56, 8, 0
129, 17, 0
20, 5, 1
133, 2, 2
29, 2, 0
122, 10, 0
178, 2, 2
152, 8, 0
50, 9, 1
157, 2, 2
112, 3, 1
69, 2, 2
14, 9, 1
446, 15, 2
40, 2, 0
8, 0, 1
124, 6, 0
156, 14, 2
122, 3, 0
76, 1, 1
201, 2, 2
61, 7, 1
104, 1, 1
14, 13, 0
99, 10, 1
211, 4, 0
96, 4, 1
79, 5, 0
92, 10, 1
100, 6, 1
175, 14, 2
72, 5, 1
62, 1, 2
20, 12, 0
225, 7, 2
94, 7, 1
117, 3, 1
24, 8, 2
205, 0, 0
38, 5, 0
43, 9, 1
96, 17, 1
75, 6, 2
65, 6, 1
71, 18, 1
220, 1, 0
114, 3, 2
149, 10, 2
209, 5, 1
45, 0, 0
160, 7, 0
106, 9, 0
37, 6, 2
192, 4, 1
48, 2, 1
393, 1, 2
190, 5, 1
435, 7, 2
31, 15, 1
327, 5, 1
32, 19, 2
28, 4, 1
21, 10, 2
262, 13, 2
6, 7, 2
119, 13, 2
409, 4, 0


38, 0, 1
150, 11, 0
120, 9, 2
319, 3, 2
172, 5, 1
95, 4, 0
42, 4, 1
71, 3, 2
54, 13, 1
10, 0, 0
68, 8, 2
85, 10, 2
131, 7, 1
450, 15, 0
361, 3, 0
6, 7, 2
159, 6, 0
41, 0, 0
69, 12, 0
197, 5, 0
177, 4, 0
100, 7, 0
130, 5, 2
192, 13, 0
20, 5, 1
27, 3, 2
125, 4, 1
93, 18, 2
13, 7, 0
151, 4, 2
7, 14, 1
88, 8, 1
195, 1, 1
38, 4, 2
15, 0, 2
101, 7, 1
107, 9, 0
105, 14, 2
10, 4, 0
109, 6, 0
23, 12, 1
70, 15, 1
28, 7, 2
107, 1, 0
127, 5, 2
149, 2, 1
209, 14, 1
78, 1, 1
142, 4, 2
12, 8, 2
78, 11, 2
123, 17, 0
59, 4, 2
158, 5, 2
151, 6, 0
66, 5, 0
222, 6, 1
186, 4, 1
72, 13, 1
31, 9, 1
137, 4, 0
35, 2, 2
102, 0, 0
210, 11, 1
111, 5, 2
150, 3, 0
85, 0, 1
118, 2, 2
157, 0, 0
128, 1, 0
220, 3, 1
178, 8, 1
218, 11, 2
11, 13, 1
121, 7, 1
65, 17, 1
325, 15, 0
113, 10, 2
126, 9, 0
72, 8, 2
128, 7, 1
211, 6, 2
21, 7, 1
226, 7, 1
160, 12, 2
101, 0, 2
58, 8, 0
71, 1, 1
147, 12, 1
194, 1, 0
435, 7, 2
7, 0, 0
116, 2, 0
61, 3, 2
194, 8, 1
188, 4, 2
85, 2, 0
174, 13, 0
217, 14, 1
14, 5, 1


126, 12, 0
0, 17, 1
100, 3, 0
212, 3, 2
103, 1, 0
129, 14, 2
116, 12, 1
176, 3, 1
186, 12, 0
15, 16, 1
352, 4, 0
61, 4, 2
14, 10, 0
94, 19, 2
9, 3, 2
21, 11, 0
11, 11, 1
113, 0, 0
317, 14, 2
6, 12, 0
77, 7, 0
334, 13, 2
63, 6, 2
146, 10, 0
146, 6, 1
194, 3, 1
27, 17, 0
104, 10, 0
341, 6, 2
157, 5, 1
110, 1, 0
49, 6, 0
55, 2, 1
