65, 14, 2
203, 12, 2
111, 14, 0
155, 4, 1
85, 0, 0
0, 10, 2
56, 16, 0
115, 17, 0
71, 9, 2
145, 9, 2
31, 5, 2
61, 3, 0
36, 1, 2
10, 0, 1
32, 6, 2
79, 13, 1
3, 14, 2
106, 17, 1
100, 10, 2
19, 15, 1
127, 7, 1
48, 9, 1
31, 14, 2
159, 18, 1
19, 6, 2
109, 5, 1
151, 2, 2
52, 9, 1
21, 8, 0
32, 15, 2
185, 5, 0
95, 13, 1
78, 14, 1
5, 1, 0
82, 8, 1
178, 9, 1
61, 4, 2
119, 4, 0
17, 0, 1
137, 11, 2
58, 0, 2
13, 9, 0
48, 12, 1
29, 3, 1
131, 13, 2
186, 12, 2
119, 17, 1
37, 17, 2
69, 19, 1
169, 14, 0
17, 19, 1
194, 8, 1
35, 6, 0
170, 15, 1
195, 8, 0
152, 3, 2
42, 15, 1
84, 14, 2
148, 19, 0
45, 18, 0
48, 19, 1
186, 1, 1
124, 19, 2
149, 7, 0
159, 5, 1
210, 12, 2
122, 0, 1
208, 19, 0
2, 11, 2
130, 1, 1
7, 12, 1
112, 13, 2
143, 15, 2
31, 15, 2
72, 9, 0
92, 19, 1
178, 16, 1
6, 2, 0
207, 13, 0
181, 4, 2
59, 12, 1
173, 6, 2
134, 0, 0
136, 0, 2
116, 2, 2
130, 8, 2
98, 9, 2
102, 5, 1
6, 19, 0
109, 4, 0
178, 13, 1
91, 14, 2
201, 9, 0
88, 3, 0
114, 13, 2
35, 15, 0
145, 12, 0
184, 15, 2
148, 13, 0
197, 4, 1

